'Material Deprivation',Affordability,'Income Inequality','Community Environment Profile','Consumer Opportunity Profile','Economic Opportunity Profile','Population Churning',Education,'Job Participation','Employment Accessibility','Access to Care','Health Opportunity Index'
0.175519,0.451451,0.433468,0.429606,0.470524,0.287965,0.568702,0.686566,0.648,0.100432,0.482862,Bad
0.34433,0.431431,0.456005,0.360533,0.491136,0.266439,0.639949,0.684477,0.586,0.056834,0.413072,Bad
0.336439,0.650651,0.57112,0.627661,0.7061,0.379721,0.470738,0.879575,0.833,0.13984,0.406689,Bad
0.41224,0.468468,0.426451,0.283613,0.563393,0.193035,0.90458,0.618629,0.39,0.016474,0.351604,Bad
0.352491,0.457457,0.522267,0.499193,0.495253,0.324237,0.492366,0.67266,0.633,0.132556,0.465202,Bad
0.226968,0.257257,0.426316,0.375679,0.344937,0.281803,0.908397,0.603697,0.596,0.080998,0.453972,Bad
0.547192,0.654655,0.358704,0.458012,0.869984,0.185793,0.594148,0.877363,0.579,0.04615,0.503173,Bad
0.456783,0.274274,0.312955,0.292411,0.339949,0.211883,0.851145,0.642433,0.455,0.009875,0.505154,Bad
0.431445,0.497497,0.377733,0.279094,0.603367,0.189207,0.913486,0.696114,0.464,0.030559,0.192191,Bad
0.390905,0.417417,0.417949,0.351875,0.366527,0.268676,0.732824,0.662791,0.521,0.034928,0.598491,Bad
0.298161,0.510511,0.45641,0.535695,0.578928,0.336023,0.756997,0.724919,0.796,0.14196,0.465968,Bad
0.232458,0.34034,0.445479,0.391827,0.150123,0.338447,0.725191,0.563495,0.717,0.070469,0.502916,Bad
0.408042,0.550551,0.327935,0.416105,0.719817,0.217757,0.729008,0.802705,0.63,0.087024,0.328633,Bad
